1,Lahore,Karachi,15000,2024-05-27 08:00,2024-05-27 10:00
2,Lahore,Islamabad,10000,2024-05-27 09:00,2024-05-27 10:30
3,Karachi,Lahore,15000,2024-05-27 11:00,2024-05-27 13:00
4,Islamabad,Lahore,10000,2024-05-27 12:00,2024-05-27 13:30
5,Multan,Faisalabad,7000,2024-05-27 14:00,2024-05-27 15:00
6,Faisalabad,Multan,7000,2024-05-27 15:30,2024-05-27 16:30
7,Quetta,Islamabad,12000,2024-05-27 17:00,2024-05-27 19:00
8,Islamabad,Quetta,12000,2024-05-27 20:00,2024-05-27 22:00
9,Lahore,Karachi,15000,2024-05-28 08:00,2024-05-28 10:00
10,Lahore,Islamabad,10000,2024-05-28 09:00,2024-05-28 10:30
11,Karachi,Lahore,15000,2024-05-28 11:00,2024-05-28 13:00
12,Islamabad,Lahore,10000,2024-05-28 12:00,2024-05-28 13:30
13,Multan,Faisalabad,7000,2024-05-28 14:00,2024-05-28 15:00
14,Faisalabad,Multan,7000,2024-05-28 15:30,2024-05-28 16:30
15,Quetta,Islamabad,12000,2024-05-28 17:00,2024-05-28 19:00
16,Islamabad,Quetta,12000,2024-05-28 20:00,2024-05-28 22:00
17,Lahore,Karachi,15000,2024-05-29 08:00,2024-05-29 10:00
18,Lahore,Islamabad,10000,2024-05-29 09:00,2024-05-29 10:30
19,Karachi,Lahore,15000,2024-05-29 11:00,2024-05-29 13:00
20,Islamabad,Lahore,10000,2024-05-29 12:00,2024-05-29 13:30
21,Multan,Faisalabad,7000,2024-05-29 14:00,2024-05-29 15:00
22,Faisalabad,Multan,7000,2024-05-29 15:30,2024-05-29 16:30
23,Quetta,Islamabad,12000,2024-05-29 17:00,2024-05-29 19:00
24,Islamabad,Quetta,12000,2024-05-29 20:00,2024-05-29 22:00
25,Lahore,Karachi,15000,2024-05-30 08:00,2024-05-30 10:00
26,Lahore,Islamabad,10000,2024-05-30 09:00,2024-05-30 10:30
27,Karachi,Lahore,15000,2024-05-30 11:00,2024-05-30 13:00
28,Islamabad,Lahore,10000,2024-05-30 12:00,2024-05-30 13:30
29,Multan,Faisalabad,7000,2024-05-30 14:00,2024-05-30 15:00
30,Faisalabad,Multan,7000,2024-05-30 15:30,2024-05-30 16:30
31,Islamabad,Quetta,12000,2024-05-30 17:00,2024-05-30 19:00
32,Islamabad,Quetta,12000,2024-05-30 20:00,2024-05-30 22:00
33,Lahore,Karachi,15000,2024-05-31 08:00,2024-05-31 10:00
34,Lahore,Islamabad,10000,2024-05-31 09:00,2024-05-31 10:30
35,Karachi,Lahore,15000,2024-05-31 11:00,2024-05-31 13:00
36,Islamabad,Lahore,10000,2024-05-31 12:00,2024-05-31 13:30
37,Multan,Faisalabad,7000,2024-05-31 14:00,2024-05-31 15:00
38,Faisalabad,Multan,7000,2024-05-31 15:30,2024-05-31 16:30
39,Quetta,Islamabad,12000,2024-05-31 17:00,2024-05-31 19:00
40,Islamabad,Quetta,12000,2024-08-18 20:00,2024-08-18 22:00
